Covidence #,Study ID,Title,Reviewer Name,Title,Authors,Year of publication,Journal name,Country of study ,World Bank income classification,Data source type,Sample size — number of accidents,Study period covered by data,Geographic scope,Urban or rural setting,ML algorithm or algorithms used ,Algorithm category,Prediction task type,Training and test split method,Class imbalance addressed,Hyperparameter tuning reported,Spatial analysis method used ,Temporal resolution of analysis,Geographic unit of analysis ,Spatiotemporal framework type,Accuracy reported ,AUC or AUROC reported,F1-score reported ,Precision reported,Recall or sensitivity reported ,RMSE reported,MAE reported,Other metric and value ,Best performing algorithm in study ,Study conducted in Bangladesh,Study conducted in LMIC,Authors discuss LMIC transferability,Bangladesh relevance notes,PROBAST overall risk of bias,PROBAST Participants domain,PROBAST Predictors domain,PROBAST Outcome domain,PROBAST Analysis domain ,Author stated limitations,Key findings summary,PROBAST — Participants,PROBAST — Participants supporting text,PROBAST — Predictors,PROBAST — Predictors supporting text,PROBAST — Outcome,PROBAST — Outcome supporting text,PROBAST — Analysis,PROBAST — Analysis supporting text,PROBAST — Overall risk of bias,PROBAST — Overall risk of bias supporting text
825,A 2025,An Explainable Attention-Augmented LSTM Model for Robust Real-Time Detection of Driving Behavior Patterns and Road Anomalies in Smart Transportation Networks,Sarbajit Paul Bappy,An Explainable Attention-Augmented LSTM Model for Robust Real-Time Detection of Driving Behavior Patterns and Road Anomalies in Smart Transportation Networks,"Khandakar, A.; Michelson, D.G.; Bintay Shafi, F.; Ahamed, M.F.; Ayari, M.A.; Khan, K.; Suganthan, P.N.",2025,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,"Bangladesh — data collected on a 30-km route in Rajshahi, Bangladesh. Lead institution: Qatar University, Qatar.",Lower-middle income,Sensor or telematics data,"number of accidents: Not applicable — this paper does not use accident records. Dataset contains 217,374 samples for driving behavior and 102,049 samples for road anomaly detection collected from three drivers over a 30-km route",Not explicitly stated ,City level,Mixed,"ML algorithm or algorithms used: Attention-augmented LSTM (CV-Net) — two stacked LSTM layers with additive attention mechanism, batch normalisation, and dropout. Compared against: standard LSTM, HDD4DBP, FMDNet, GRIDS, GLMDriveNet",Deep learning,"Other: driving behavior classification (aggressive/standard/slow) and road anomaly detection (pothole/bump). Neither task is accident prediction, severity classification, or hotspot identification",Fixed split,No,Yes,"GPS coordinates used as one of 15 input features (speed, altitude, bearing from GNSS receiver). No GIS mapping, hotspot analysis, spatial clustering, or geographic risk zone analysis conducted. Spatial component is limited to GPS as a sensor input only — not as an analytical spatial method.",Not specified,"Route level — single 30-km driving route in Rajshahi city. No road segment-level, district-level, or city-wide spatial analysis.",Temporal only,"99.18% for driving behavior classification (calibrated data). 99.94% for road anomaly detection (calibrated data). Uncalibrated: 94.00% behavior, 94.18% anomaly.",1.00 for both driving behavior and road anomaly detection on calibrated data. AUC = 0.99 on uncalibrated data for both tasks.,"Driving behavior — average F1 = 99.00% (calibrated), 92.33% (uncalibrated). Road anomaly — average F1 = 99.94% (calibrated), 94.50% (uncalibrated).",Driving behavior — average precision = 98.66% (calibrated). Road anomaly — average precision = 99.95% (calibrated,Driving behavior — average precision = 98.66% (calibrated). Road anomaly — average precision = 99.95% (calibrated).,No,No,"Fivefold cross-validation — driving behavior: mean accuracy 99.18% ± 0.02, 95% CI [98.64, 99.20]. Road anomaly: mean accuracy 99.94% ± 0.01, 95% CI [99.92, 99.95]. P-value < 0.05 across all baseline comparisons. Inference time = 0.12 ms. MFLOPS = 4.16. External validation on UAH-DriveSet: accuracy 98.43%. External validation on Gonzalez dataset: accuracy 97.67%.",CV-Net (attention-augmented LSTM),Yes,Yes,Partially,"High Bangladesh data relevance — entire dataset collected in Rajshahi, Bangladesh. One co-author (Md. Faysal Ahamed) is affiliated with RUET, Rajshahi, Bangladesh. However relevance to your SLR is limited — the paper addresses driving behaviour monitoring and pothole/bump detection, not road accident prediction. The Rajshahi dataset and smartphone-based methodology are directly transferable to Bangladesh road safety research contexts but the prediction outcome does not align with your SLR scope.",Low risk,Low risk,Low risk,Low risk,Low risk,"Performance may degrade under extreme environmental conditions such as heavy rain, poor lighting, or low visibility not represented in current dataset
Variations in sensor placement, device orientation, and smartphone hardware may introduce calibration drift
Benefits of calibration depend on access to reliable reference data which may be constrained in large-scale field deployments
Current study is framed as offline analysis — real-time deployment on embedded platforms not yet evaluated
Three drivers only — limited diversity in driving profiles
Single city route in Rajshahi — generalisability to other geographic contexts not tested","CV-Net achieves 99.18% accuracy for driving behavior and 99.94% for road anomaly detection on calibrated data — highest among all five SOTA comparators
Calibration improves accuracy by +5.18% for driving behavior and +5.76% for road anomaly detection over uncalibrated baseline
Attention mechanism identifies orientation yaw, gravity x, and gravity y as most influential features for both tasks
Ablation study confirms stacked LSTM layers, additive attention, and batch normalisation are the three critical architectural components
Inference time of 0.12 ms and 4.16 MFLOPS confirms real-time deployment feasibility on resource-constrained devices
External validation on four independent public datasets confirms generalisation beyond Bangladesh context
Dataset collected in Rajshahi, Bangladesh is publicly available and reusable for future research",,,,,,,,,,
825,A 2025,An Explainable Attention-Augmented LSTM Model for Robust Real-Time Detection of Driving Behavior Patterns and Road Anomalies in Smart Transportation Networks,Consensus,An Explainable Attention-Augmented LSTM Model for Robust Real-Time Detection of Driving Behavior Patterns and Road Anomalies in Smart Transportation Networks,"Khandakar, A.; Michelson, D.G.; Bintay Shafi, F.; Ahamed, M.F.; Ayari, M.A.; Khan, K.; Suganthan, P.N.",2025,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,"Bangladesh — data collected on a 30-km route in Rajshahi, Bangladesh. Lead institution: Qatar University, Qatar.",Lower-middle income,Sensor or telematics data,"number of accidents: Not applicable — this paper does not use accident records. Dataset contains 217,374 samples for driving behavior and 102,049 samples for road anomaly detection collected from three drivers over a 30-km route",Not explicitly stated ,City level,Mixed,"ML algorithm or algorithms used: Attention-augmented LSTM (CV-Net) — two stacked LSTM layers with additive attention mechanism, batch normalisation, and dropout. Compared against: standard LSTM, HDD4DBP, FMDNet, GRIDS, GLMDriveNet",Deep learning,"Other: driving behavior classification (aggressive/standard/slow) and road anomaly detection (pothole/bump). Neither task is accident prediction, severity classification, or hotspot identification",Fixed split,No,Yes,"GPS coordinates used as one of 15 input features (speed, altitude, bearing from GNSS receiver). No GIS mapping, hotspot analysis, spatial clustering, or geographic risk zone analysis conducted. Spatial component is limited to GPS as a sensor input only — not as an analytical spatial method.",Not specified,"Route level — single 30-km driving route in Rajshahi city. No road segment-level, district-level, or city-wide spatial analysis.",Temporal only,"99.18% for driving behavior classification (calibrated data). 99.94% for road anomaly detection (calibrated data). Uncalibrated: 94.00% behavior, 94.18% anomaly.",1.00 for both driving behavior and road anomaly detection on calibrated data. AUC = 0.99 on uncalibrated data for both tasks.,"Driving behavior — average F1 = 99.00% (calibrated), 92.33% (uncalibrated). Road anomaly — average F1 = 99.94% (calibrated), 94.50% (uncalibrated).",Driving behavior — average precision = 98.66% (calibrated). Road anomaly — average precision = 99.95% (calibrated,Driving behavior — average precision = 98.66% (calibrated). Road anomaly — average precision = 99.95% (calibrated).,No,No,"Fivefold cross-validation — driving behavior: mean accuracy 99.18% ± 0.02, 95% CI [98.64, 99.20]. Road anomaly: mean accuracy 99.94% ± 0.01, 95% CI [99.92, 99.95]. P-value < 0.05 across all baseline comparisons. Inference time = 0.12 ms. MFLOPS = 4.16. External validation on UAH-DriveSet: accuracy 98.43%. External validation on Gonzalez dataset: accuracy 97.67%.",CV-Net (attention-augmented LSTM),Yes,Yes,Partially,"High Bangladesh data relevance — entire dataset collected in Rajshahi, Bangladesh. One co-author (Md. Faysal Ahamed) is affiliated with RUET, Rajshahi, Bangladesh. However relevance to your SLR is limited — the paper addresses driving behaviour monitoring and pothole/bump detection, not road accident prediction. The Rajshahi dataset and smartphone-based methodology are directly transferable to Bangladesh road safety research contexts but the prediction outcome does not align with your SLR scope.",Low risk,Low risk,Low risk,Low risk,Low risk,"Performance may degrade under extreme environmental conditions such as heavy rain, poor lighting, or low visibility not represented in current dataset
Variations in sensor placement, device orientation, and smartphone hardware may introduce calibration drift
Benefits of calibration depend on access to reliable reference data which may be constrained in large-scale field deployments
Current study is framed as offline analysis — real-time deployment on embedded platforms not yet evaluated
Three drivers only — limited diversity in driving profiles
Single city route in Rajshahi — generalisability to other geographic contexts not tested","CV-Net achieves 99.18% accuracy for driving behavior and 99.94% for road anomaly detection on calibrated data — highest among all five SOTA comparators
Calibration improves accuracy by +5.18% for driving behavior and +5.76% for road anomaly detection over uncalibrated baseline
Attention mechanism identifies orientation yaw, gravity x, and gravity y as most influential features for both tasks
Ablation study confirms stacked LSTM layers, additive attention, and batch normalisation are the three critical architectural components
Inference time of 0.12 ms and 4.16 MFLOPS confirms real-time deployment feasibility on resource-constrained devices
External validation on four independent public datasets confirms generalisation beyond Bangladesh context
Dataset collected in Rajshahi, Bangladesh is publicly available and reusable for future research",,,,,,,,,,
808,A 2024,"Automatic Accident Detection, Segmentation and Duration Prediction Using Machine Learning",Sarbajit Paul Bappy,"Automatic Accident Detection, Segmentation and
Duration Prediction Using Machine Learning",Grigorev et al. ,2024,"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,",United States (San Francisco dataset),High income,Sensor or telematics data,"number of accidents: CTADS dataset used, specific accident count not reported",Not specified,City level,Urban,"Distance metric-based disruption segmentation algorithm using Chebyshev metric (selected as best performing from: Bray-Curtis, Canberra, Chebyshev, Manhattan, Correlation, Cosine, Euclidean, Minkowski). Multiple ML models used for incident prediction accuracy improvement — specific model names not fully detailed",Traditional ML,Mixed,Not reported,Not reported,Yes,OpenStreetMap (OSM) geospatial road data integration. CTADS2VDS algorithm used to associate geospatial incident locations with traffic sensor points. Geographic area filtering applied. Road data converted to point data and aligned with incident locations.,Daily,Road segment level — individual road points mapped via OSM and aligned with PeMS detector locations in San Francisco,Combined spatiotemporal,Not reported,"ROC curves presented in Figures 15, 16, 17 for all accidents and individual accident cases — specific AUC numerical values not stated",0.62 — achieved after hyperparameter optimisation with Chebyshev metric (improved from baseline of 0.52). Multiple interval comparison F1 = 0.62.,Not reported,Not reported — sensitivity-specificity trade-off discussed conceptually but no numerical values given,Not applicable,Not applicable,"Pearson correlation between model parameters and F1 score — threshold: -0.55, shift: +0.49, selectivity: -0.32",Chebyshev distance metric — selected as best performing from eight candidate metrics via hyperparameter search,No,No,Partially,"Limited direct relevance. The toolkit's modular design and stated multi-country ambition is noteworthy — authors acknowledge data availability as the key barrier to applying this approach elsewhere, which directly describes the Bangladesh and LMIC situation. The two-week temporal window approach and OSM-based spatial association could theoretically be adapted for Dhaka using available PeMS-equivalent sensor data, but no such data currently exists at scale in Bangladesh.",Unclear risk,Low risk,Low risk,Unclear risk,Unclear risk,"Applied only to San Francisco dataset due to public availability — not tested on other countries or regions
Scalability challenges in larger urban networks — data retrieval is a bottleneck
Interoperability issues when using alternative data formats beyond OSM and CTADS
Reported accident times contain errors — start time, location, and duration reporting inconsistencies affect ground truth quality
Lack of synchronised traffic state and accident log data across countries limits global application
Cascading effect of secondary incidents not yet modelled","Chebyshev distance metric outperformed seven other metrics for disruption segmentation, achieving F1 = 0.62 after hyperparameter optimisation versus 0.52 baseline
Positive shift in post-processing function was the single most impactful parameter improvement
Binarization threshold and shift had highest Pearson correlation with F1 score (-0.55 and +0.49 respectively)
CTADS2VDS algorithm successfully linked geospatial incident locations with PeMS traffic speed sensor data using OSM road network
Toolkit published as open-source on GitHub enabling replication and adaptation
Data fusion from multiple sources (OSM, CTADS, PeMS) improved incident prediction accuracy over single-source approaches",Low risk,Real-world traffic incident data from San Francisco used via PeMS sensor network and CTADS incident database. Study population is clearly defined as traffic incidents occurring on San Francisco road network. Data sources are publicly available and well documented. Representative of real-world urban traffic accident scenarios in a high-income country context.,Low risk,"Input variables are clearly pre-specified — traffic speed measurements from PeMS sensors, geospatial coordinates from OSM, and incident reports from CTADS. All predictor variables are objectively measured sensor readings collected independently of outcome assessment. No subjective predictor measurement. Algorithm parameters (kernel size, threshold, shift, selectivity) explicitly defined before hyperparameter search.",Unclear risk,"Accident detection outcome is based on traffic speed disruption patterns rather than direct ground truth verification. Authors themselves acknowledge reporting errors in incident data — stated limitation is that reported accident start times, locations, and durations contain inaccuracies. Manual markup used as ground truth but markup process not independently validated. Mismatch between reported incident time and actual disruption onset creates outcome measurement uncertainty.",Unclear risk,"Hyperparameter search is thorough and well documented across 3,000 then 1,000 iterations — this is a strength. F1 score reported as primary metric — 0.62 after optimisation versus 0.52 baseline. However train/test split method never reported. Total sample size of accidents not stated anywhere in the paper. Overfitting risk in a city-specific single-location model not assessed or discussed. Performance evaluated only on San Francisco data with no external validation. These reporting gaps prevent a full low-risk rating.",Unclear risk,"No single domain is rated High risk. Participants and Predictors domains are Low risk. Outcome and Analysis domains are Unclear risk due to ground truth reliability concerns and insufficient reporting of sample size and split methodology. Under PROBAST rules the overall judgement follows the highest risk domain — Unclear risk is assigned. Would be upgraded to Low risk if sample size, train/test split, and external validation were reported in the full text."
808,A 2024,"Automatic Accident Detection, Segmentation and Duration Prediction Using Machine Learning",Consensus,"Automatic Accident Detection, Segmentation and
Duration Prediction Using Machine Learning",Grigorev et al. ,2024,"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,",United States (San Francisco dataset),High income,Sensor or telematics data,"number of accidents: CTADS dataset used, specific accident count not reported",Not specified,City level,Urban,"Distance metric-based disruption segmentation algorithm using Chebyshev metric (selected as best performing from: Bray-Curtis, Canberra, Chebyshev, Manhattan, Correlation, Cosine, Euclidean, Minkowski). Multiple ML models used for incident prediction accuracy improvement — specific model names not fully detailed",Traditional ML,Mixed,Not reported,Not reported,Yes,OpenStreetMap (OSM) geospatial road data integration. CTADS2VDS algorithm used to associate geospatial incident locations with traffic sensor points. Geographic area filtering applied. Road data converted to point data and aligned with incident locations.,Daily,Road segment level — individual road points mapped via OSM and aligned with PeMS detector locations in San Francisco,Combined spatiotemporal,Not reported,"ROC curves presented in Figures 15, 16, 17 for all accidents and individual accident cases — specific AUC numerical values not stated",0.62 — achieved after hyperparameter optimisation with Chebyshev metric (improved from baseline of 0.52). Multiple interval comparison F1 = 0.62.,Not reported,Not reported — sensitivity-specificity trade-off discussed conceptually but no numerical values given,Not applicable,Not applicable,"Pearson correlation between model parameters and F1 score — threshold: -0.55, shift: +0.49, selectivity: -0.32",Chebyshev distance metric — selected as best performing from eight candidate metrics via hyperparameter search,No,No,Partially,"Limited direct relevance. The toolkit's modular design and stated multi-country ambition is noteworthy — authors acknowledge data availability as the key barrier to applying this approach elsewhere, which directly describes the Bangladesh and LMIC situation. The two-week temporal window approach and OSM-based spatial association could theoretically be adapted for Dhaka using available PeMS-equivalent sensor data, but no such data currently exists at scale in Bangladesh.",Unclear risk,Low risk,Low risk,Unclear risk,Unclear risk,"Applied only to San Francisco dataset due to public availability — not tested on other countries or regions
Scalability challenges in larger urban networks — data retrieval is a bottleneck
Interoperability issues when using alternative data formats beyond OSM and CTADS
Reported accident times contain errors — start time, location, and duration reporting inconsistencies affect ground truth quality
Lack of synchronised traffic state and accident log data across countries limits global application
Cascading effect of secondary incidents not yet modelled","Chebyshev distance metric outperformed seven other metrics for disruption segmentation, achieving F1 = 0.62 after hyperparameter optimisation versus 0.52 baseline
Positive shift in post-processing function was the single most impactful parameter improvement
Binarization threshold and shift had highest Pearson correlation with F1 score (-0.55 and +0.49 respectively)
CTADS2VDS algorithm successfully linked geospatial incident locations with PeMS traffic speed sensor data using OSM road network
Toolkit published as open-source on GitHub enabling replication and adaptation
Data fusion from multiple sources (OSM, CTADS, PeMS) improved incident prediction accuracy over single-source approaches",Low risk,,Low risk,,Unclear risk,,Unclear risk,,Unclear risk,
706,Liu 2025,A hybrid ARIMA-BP approach for superior accuracy in predicting traffic accident losses.,Sarbajit Paul Bappy,"A hybrid ARIMA-BP approach for 
superior accuracy in predicting 
traffic accident losses",Jian Liu et al,2025,Scientific Reports,China,Upper-middle income,Mixed sources,Not Reported,1990–2020,National level,Mixed,"ARIMA (Autoregressive Integrated Moving Average), BP (Backpropagation) Neural Network, and the hybrid ARIMA-BP model",Hybrid,Mixed,Time-based split,No,Yes,Grey relational analysis,Annual,Country (National),Temporal only,Average annual error rate of 5.31%,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported," $R^2$ (Goodness of Fit): 0.937 (Accidents), 0.909 (Fatalities), 0.904 (Injuries), 0.857 (Property Damage)",ARIMA-BP,No,No,No,"The model uses macroscopic indicators (GDP, population, road mileage) that are standard in many developing nations, but the study does not explicitly address Bangladesh's specific infrastructure or data constraints.",Low risk,Low risk,Low risk,Low risk,Low risk,Limited availability of public data; use of annual data instead of monthly or quarterly perspectives; lack of specific spatial/geographic forecasting,"The hybrid ARIMA-BP model significantly outperforms standalone ARIMA and BP models by effectively capturing both linear temporal trends and nonlinear causal relationships. It achieved an average prediction error rate of 5.31%, which was 2.61% lower than ARIMA and 6.24% lower than the BP network.",,,,,,,,,,
706,Liu 2025,A hybrid ARIMA-BP approach for superior accuracy in predicting traffic accident losses.,Consensus,"A hybrid ARIMA-BP approach for 
superior accuracy in predicting 
traffic accident losses",Jian Liu et al,2025,Scientific Reports,China,Upper-middle income,Mixed sources,Not Reported,1990–2020,National level,Mixed,"ARIMA (Autoregressive Integrated Moving Average), BP (Backpropagation) Neural Network, and the hybrid ARIMA-BP model",Hybrid,Mixed,Time-based split,No,Yes,Grey relational analysis,Annual,Country (National),Temporal only,Average annual error rate of 5.31%,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported," $R^2$ (Goodness of Fit): 0.937 (Accidents), 0.909 (Fatalities), 0.904 (Injuries), 0.857 (Property Damage)",ARIMA-BP,No,No,No,"The model uses macroscopic indicators (GDP, population, road mileage) that are standard in many developing nations, but the study does not explicitly address Bangladesh's specific infrastructure or data constraints.",Low risk,Low risk,Low risk,Low risk,Low risk,Limited availability of public data; use of annual data instead of monthly or quarterly perspectives; lack of specific spatial/geographic forecasting,"The hybrid ARIMA-BP model significantly outperforms standalone ARIMA and BP models by effectively capturing both linear temporal trends and nonlinear causal relationships. It achieved an average prediction error rate of 5.31%, which was 2.61% lower than ARIMA and 6.24% lower than the BP network.",,,,,,,,,,
549,Al-Masaeid 2023,Performance of Traffic Accidents' Prediction Models,Sarbajit Paul Bappy,Performance of Traffic Accidents’ Prediction Models,Al-Masaeid et al,2023,Jordan Journal of Civil Engineering,Jordan,Lower-middle income,Mixed sources,"number of accidents: 93,011.76 (Mean NOA over 25 years); Max value recorded was 161,511",1995 through 2020,National level,Not specified,"Artificial Neural Network (ANN), ARIMA, and Multiple Linear Regression",Hybrid,Temporal risk prediction,Fixed split,Not reported,Yes,Not Reported,Annual,Country-wide (Jordan),Temporal only,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,"Yes (e.g., 5193.8 for the best NOA ANN model)","Yes (e.g., 3930.5 for the best NOA ANN model)",NOA $R^{2} = 0.984$,Artificial Neural Network (ANN),No,Yes,Partially,"The study demonstrates that in a lower-middle-income context, ANN models using macro-level data (GDP, POP, REGV) can effectively predict accident trends even with fluctuating temporal data.",Low risk,Low risk,Low risk,Low risk,Low risk,The study used a limited number of variables; lacks accurate data for paved road length and vehicle-kilometers of travel.,"ANN models outperformed ARIMA and Regression for accident prediction. COVID-19 travel restrictions in 2020 resulted in a 35% reduction in accidents, 37% in injuries, and 50% in fatalities in Jordan.",,,,,,,,,,
549,Al-Masaeid 2023,Performance of Traffic Accidents' Prediction Models,Consensus,Performance of Traffic Accidents’ Prediction Models,Al-Masaeid et al,2023,Jordan Journal of Civil Engineering,Jordan,Lower-middle income,Mixed sources,"number of accidents: 93,011.76 (Mean NOA over 25 years); Max value recorded was 161,511",1995 through 2020,National level,Not specified,"Artificial Neural Network (ANN), ARIMA, and Multiple Linear Regression",Hybrid,Temporal risk prediction,Fixed split,Not reported,Yes,Not Reported,Annual,Country-wide (Jordan),Temporal only,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,"Yes (e.g., 5193.8 for the best NOA ANN model)","Yes (e.g., 3930.5 for the best NOA ANN model)",NOA $R^{2} = 0.984$,Artificial Neural Network (ANN),No,Yes,Partially,"The study demonstrates that in a lower-middle-income context, ANN models using macro-level data (GDP, POP, REGV) can effectively predict accident trends even with fluctuating temporal data.",Low risk,Low risk,Low risk,Low risk,Low risk,The study used a limited number of variables; lacks accurate data for paved road length and vehicle-kilometers of travel.,"ANN models outperformed ARIMA and Regression for accident prediction. COVID-19 travel restrictions in 2020 resulted in a 35% reduction in accidents, 37% in injuries, and 50% in fatalities in Jordan.",,,,,,,,,,
488,Berhanu 2024,Machine learning for predictions of road traffic accidents and spatial network analysis for safe routing on accident and congestion-prone road networks,Sarbajit Paul Bappy,Machine learning for predictions of road traffic accidents and spatial network analysis for safe routing on accident and congestion-prone road networks,Y. Berhanu et al.,2024,Results in Engineering,Ethiopia,Low income,Mixed sources,Not Reported,Not Reported,City level,Urban,Random Forest (RF).,Ensemble,Mixed,Not reported,Not reported,Not reported,Spatial network analysis and crash rates integrated with GIS.,Not specified,Road network segments.,Combined spatiotemporal,94.2%,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Random Forest (RF) was the primary model utilized for the innovative integrated approach.,No,Yes,Yes,"The integration of machine learning with spatial network analysis for safe routing is highly applicable to the dense, accident-prone urban networks of Bangladesh.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study introduced an innovative approach combining Random Forest, crash rates, and spatial network analysis. The model achieved 94.2% accuracy in predicting accidents and was successfully used to recommend safe routes for drivers, effectively reducing exposure to high-risk and congested areas.",,,,,,,,,,
488,Berhanu 2024,Machine learning for predictions of road traffic accidents and spatial network analysis for safe routing on accident and congestion-prone road networks,Consensus,Machine learning for predictions of road traffic accidents and spatial network analysis for safe routing on accident and congestion-prone road networks,Y. Berhanu et al.,2024,Results in Engineering,Ethiopia,Low income,Mixed sources,Not Reported,Not Reported,City level,Urban,Random Forest (RF).,Ensemble,Mixed,Not reported,Not reported,Not reported,Spatial network analysis and crash rates integrated with GIS.,Not specified,Road network segments.,Combined spatiotemporal,94.2%,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Random Forest (RF) was the primary model utilized for the innovative integrated approach.,No,Yes,Yes,"The integration of machine learning with spatial network analysis for safe routing is highly applicable to the dense, accident-prone urban networks of Bangladesh.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study introduced an innovative approach combining Random Forest, crash rates, and spatial network analysis. The model achieved 94.2% accuracy in predicting accidents and was successfully used to recommend safe routes for drivers, effectively reducing exposure to high-risk and congested areas.",,,,,,,,,,
